createddate,approval_type,rate
2021-02-25,Approval,0.52659613
2021-02-25,Disapproval,0.38463042000000003
2021-02-25,Approval,0.52659613
2021-02-25,Disapproval,0.38463042000000003
2021-02-25,Approval,0.52552327
2021-02-25,Disapproval,0.41745196999999995
2021-02-25,Approval,0.54183597
2021-02-25,Disapproval,0.41429697
2021-02-25,Approval,0.5573700699999999
2021-02-25,Disapproval,0.38029437
2021-02-25,Approval,0.54553495
2021-02-25,Disapproval,0.36631167
2021-02-25,Approval,0.52553495
2021-02-25,Disapproval,0.37131167
2021-02-25,Approval,0.52553495
2021-02-25,Disapproval,0.37131167
2021-02-25,Approval,0.52553495
2021-02-25,Disapproval,0.37131167
2021-02-25,Approval,0.52553495
2021-02-25,Disapproval,0.37131167
2021-02-25,Approval,0.52553495
2021-02-25,Disapproval,0.37131167
2021-02-25,Approval,0.52553495
2021-02-25,Disapproval,0.37131167
2021-02-25,Approval,0.52553495
2021-02-25,Disapproval,0.37131167
2021-02-25,Approval,0.55492812
2021-02-25,Disapproval,0.37023597
2021-02-25,Approval,0.52799336
2021-02-25,Disapproval,0.42421348000000003
2021-02-25,Approval,0.54370073
2021-02-25,Disapproval,0.42010219
2021-02-26,Approval,0.51552327
2021-02-26,Disapproval,0.42745196999999996
2021-02-26,Approval,0.51799336
2021-02-26,Disapproval,0.43421348000000004
2021-02-03,Approval,0.5488824
2021-02-03,Disapproval,0.32158536
2021-02-03,Approval,0.5123586
2021-02-03,Disapproval,0.35877749999999997
2021-02-03,Approval,0.56659613
2021-02-03,Disapproval,0.38463042000000003
2021-02-03,Approval,0.53552327
2021-02-03,Disapproval,0.40745197
2021-02-03,Approval,0.47485593000000004
2021-02-03,Disapproval,0.3858767
2021-02-03,Approval,0.5100875899999999
2021-02-03,Disapproval,0.35204054
2021-02-03,Approval,0.47266469
2021-02-03,Disapproval,0.37489514
2021-02-03,Approval,0.51606598
2021-02-03,Disapproval,0.32669508
2021-02-03,Approval,0.55134218
2021-02-03,Disapproval,0.32565131
2021-02-03,Approval,0.55606598
2021-02-03,Disapproval,0.36669508
2021-02-03,Approval,0.5360659799999999
2021-02-03,Disapproval,0.38669508
2021-02-03,Approval,0.51413204
2021-02-03,Disapproval,0.39128004
2021-02-03,Approval,0.53799336
2021-02-03,Disapproval,0.41421348
2021-02-04,Approval,0.55815001
2021-02-04,Disapproval,0.36749653000000004
2021-02-04,Approval,0.52659613
2021-02-04,Disapproval,0.35463042
2021-02-04,Approval,0.52659613
2021-02-04,Disapproval,0.36463042
2021-02-04,Approval,0.57397167
2021-02-04,Disapproval,0.38374722
2021-02-04,Approval,0.52659613
2021-02-04,Disapproval,0.36463042
2021-02-04,Approval,0.52659613
2021-02-04,Disapproval,0.36463042
2021-02-04,Approval,0.54552327
2021-02-04,Disapproval,0.39745197
2021-02-04,Approval,0.5573700699999999
2021-02-04,Disapproval,0.35029437
2021-02-04,Approval,0.55700599
2021-02-04,Disapproval,0.36048882
2021-02-04,Approval,0.52553495
2021-02-04,Disapproval,0.34131166999999996
2021-02-04,Approval,0.57362992
2021-02-04,Disapproval,0.37572939
2021-02-04,Approval,0.52553495
2021-02-04,Disapproval,0.35131166999999996
2021-02-04,Approval,0.52553495
2021-02-04,Disapproval,0.35131166999999996
2021-02-04,Approval,0.52553495
2021-02-04,Disapproval,0.35131166999999996
2021-02-04,Approval,0.55492812
2021-02-04,Disapproval,0.34023597
2021-02-04,Approval,0.54799336
2021-02-04,Disapproval,0.40421348
2021-02-05,Approval,0.56659613
2021-02-05,Disapproval,0.35463042
2021-02-05,Approval,0.51552327
2021-02-05,Disapproval,0.41745196999999995
2021-02-05,Approval,0.50609496
2021-02-05,Disapproval,0.38548874
2021-02-05,Approval,0.56553495
2021-02-05,Disapproval,0.34131166999999996
2021-02-05,Approval,0.50479142
2021-02-05,Disapproval,0.38147091000000005
2021-02-05,Approval,0.51799336
2021-02-05,Disapproval,0.42421348000000003
2021-02-08,Approval,0.52552327
2021-02-08,Disapproval,0.40745197
2021-02-08,Approval,0.57659613
2021-02-08,Disapproval,0.38463042000000003
2021-02-08,Approval,0.52799336
2021-02-08,Disapproval,0.41421348
2021-02-08,Approval,0.56606598
2021-02-08,Disapproval,0.36669508
2021-02-09,Approval,0.56072331
2021-02-09,Disapproval,0.3650529
2021-02-09,Approval,0.58072331
2021-02-09,Disapproval,0.33505290000000004
2021-02-09,Approval,0.53552327
2021-02-09,Disapproval,0.39745197
2021-02-09,Approval,0.6248559300000001
2021-02-09,Disapproval,0.3958767
2021-02-09,Approval,0.62266469
2021-02-09,Disapproval,0.38489514
2021-02-09,Approval,0.56241303
2021-02-09,Disapproval,0.36923920000000005
2021-02-09,Approval,0.58241303
2021-02-09,Disapproval,0.3392392
2021-02-09,Approval,0.53799336
2021-02-09,Disapproval,0.40421348
2021-03-01,Approval,0.5207233099999999
2021-03-01,Disapproval,0.4150529
2021-03-01,Approval,0.53329282
2021-03-01,Disapproval,0.33886475
2021-03-01,Approval,0.51552327
2021-03-01,Disapproval,0.41745196999999995
2021-03-01,Approval,0.53181999
2021-03-01,Disapproval,0.33038283
2021-03-01,Approval,0.55390935
2021-03-01,Disapproval,0.35419798
2021-03-01,Approval,0.5224130300000001
2021-03-01,Disapproval,0.41923920000000003
